title,year
BNFO 135 - Programming for Bioinformatics (3-0-3),Effective From: Spring 2009
BNFO 136 - Programming for Bioinformatics II (3-0-3),Effective From: Spring 2014 Until: Spring 2014
BNFO 235 - Programming for Bioinformatics (3-0-3),Effective From: Fall 2006 Until: Fall 2008
BNFO 236 - Programming for Bioinformatics II (3-0-3),Effective From: Spring 2015
BNFO 240 - Data Analysis for Bioinformatics I (3-0-3),Effective From: Spring 2014 Until: Spring 2014
BNFO 330 - Data Analysis for Bioinformatics I (3-0-3),Effective From: Spring 2015
BNFO 340 - Data Analysis for Bioinformatics II (3-0-3),Effective From: Spring 2014
BNFO 482 - Databases and Data Mining in Bioinformatics (3-0-3),Effective From: Spring 2015
BNFO 491 - Computer Science Project (3-0-3),Effective From: Spring 2011
BNFO 601 - Foundations of Bioinformatics I (3 credits),Effective From: Fall 2009
BNFO 602 - Foundations of Bioinformatics II (3 credits),Effective From: Fall 2009
BNFO 615 - Data Analysis in Bioinformatics (3 credits),Effective From: Fall 2009
BNFO 620 - Genomic Data Analysis (3 credits),Effective From: Spring 2012
Acct 115  - Fundamentals of Financial Accounting  (3-0-3),Effective From: Fall 2010
Acct 116 - Principles of Accounting II (3-0-3),Effective Until: Spring 2010
Acct 117 - Survey of Accounting (3-0-3),Effective From: Spring 2011
Acct 215 - Managerial Accounting I (3-0-3),Effective From: Fall 2010
Acct 315 - Accounting for Managerial Decision Making (3-0-3),Effective Until: Spring 2014
Acct 317 - Managerial Accounting (3-0-3),Effective Until: Spring 2010
Acct 325 - Intermediate Accounting I (3-0-3),Effective From: Spring 2014
Acct 335 - Managerial Accounting II (3-0-3),Effective From: Fall 2010
Acct 415 - Auditing (3-0-3),Effective From: Spring 2014
Acct 425 - Tax Accounting I (3-0-3),Effective From: Spring 2014
Acct 435 - Intermediate Accounting II (3-0-3),Effective From: Fall 2010
Biol 200 - Concepts in Biology (4-0-4),Effective From: Spring 2014
Biol 205 - Foundations of Biology: Ecology and Evolution Lecture (3-0-3),Effective From: Spring 2014
Biol 206 - Foundations of Biology: Ecology and Evolution Lab (0-3-1),Effective From: Spring 2014
Biol 222 - Evolution (3-0-3),Effective From: Spring 2014
